starttime	tripdate	tripduration
10/24/2014 21:14	2014-10-24	1144.05
10/24/2014 21:14	2014-10-24	1041.019
11/1/2014 16:17	2014-11-01	737.006
11/1/2014 16:17	2014-11-01	688.539
11/7/2014 15:16	2014-11-07	1070.483
11/8/2014 10:37	2014-11-08	931.061
11/8/2014 10:37	2014-11-08	878.824
11/15/2014 12:10	2014-11-15	923.697
11/17/2014 14:32	2014-11-17	592.466
11/19/2014 17:04	2014-11-19	904.354
12/2/2014 18:56	2014-12-02	826.768
12/2/2014 18:56	2014-12-02	810.452
12/3/2014 20:56	2014-12-03	703.382
12/6/2014 15:21	2014-12-06	1194.012
12/27/2014 12:53	2014-12-27	738.47
12/28/2014 17:02	2014-12-28	808.113
12/29/2014 11:39	2014-12-29	1226.261
1/29/2015 13:40	2015-01-29	1193.049
1/31/2015 10:50	2015-01-31	1625.857
2/1/2015 20:21	2015-02-01	779.014
2/15/2015 13:59	2015-02-15	1035.053
2/27/2015 7:28	2015-02-27	735.518
2/28/2015 14:22	2015-02-28	914.256
2/28/2015 14:22	2015-02-28	788.088
3/2/2015 7:26	2015-03-02	720.835
3/3/2015 17:44	2015-03-03	637.574
3/4/2015 16:33	2015-03-04	819.447
3/5/2015 17:34	2015-03-05	677.722
3/9/2015 6:11	2015-03-09	764.137
3/10/2015 7:35	2015-03-10	620.441
3/18/2015 8:08	2015-03-18	779.79
3/18/2015 14:20	2015-03-18	718.207
3/19/2015 7:34	2015-03-19	760.281
3/20/2015 7:23	2015-03-20	629.271
3/24/2015 4:18	2015-03-24	781.984
3/24/2015 15:32	2015-03-24	982.371
3/24/2015 17:09	2015-03-24	1599.92
3/26/2015 7:51	2015-03-26	719.908
3/27/2015 7:25	2015-03-27	671.64
3/28/2015 23:36	2015-03-28	741.065
4/1/2015 11:48	2015-04-01	661.174
4/7/2015 7:52	2015-04-07	729.517
4/9/2015 7:14	2015-04-09	1332.558
4/18/2015 20:30	2015-04-18	931.29
4/19/2015 7:46	2015-04-19	1029.625
