starttime	tripduration	group	my_besttime	route_besttime
2014-10-29 17:33:00	1327.547	All Riders	559	504.24
2014-10-30 16:57:00	1073.851	All Riders	559	504.24
2014-11-07 18:01:00	855.942	All Riders	559	504.24
2014-11-10 17:57:00	1242.809	All Riders	559	504.24
2014-11-13 15:33:00	831.361	All Riders	559	504.24
2014-11-13 17:24:00	1047.265	All Riders	559	504.24
2014-11-14 16:38:00	1156.509	All Riders	559	504.24
2014-11-15 15:37:00	1111.246	All Riders	559	504.24
2014-11-17 17:00:00	1220.44	All Riders	559	504.24
2014-11-20 17:02:00	1211.991	All Riders	559	504.24
2014-11-24 18:22:00	995.335	All Riders	559	504.24
2014-12-02 16:37:00	994.631	All Riders	559	504.24
2014-12-04 16:36:00	1180.887	All Riders	559	504.24
2014-12-05 18:38:00	1174.217	All Riders	559	504.24
2014-12-09 15:54:00	994.976	All Riders	559	504.24
2015-01-05 17:40:00	999.971	All Riders	559	504.24
2015-01-06 17:23:00	1086.929	All Riders	559	504.24
2015-01-07 17:22:00	1017.552	All Riders	559	504.24
2015-01-09 17:20:00	1027.495	All Riders	559	504.24
2015-01-14 15:34:00	824.873	All Riders	559	504.24
2015-01-16 17:35:00	1080.67	All Riders	559	504.24
2015-01-19 15:45:00	940.154	All Riders	559	504.24
2015-01-19 17:51:00	1076.056	All Riders	559	504.24
2015-01-20 16:39:00	899.242	All Riders	559	504.24
2015-01-21 17:40:00	944.771	All Riders	559	504.24
2015-01-22 18:02:00	968.931	All Riders	559	504.24
2015-01-26 17:09:00	1211.437	All Riders	559	504.24
2015-01-27 13:15:00	865.571	All Riders	559	504.24
2015-01-27 17:14:00	838.394	All Riders	559	504.24
2015-01-28 17:42:00	1001.312	All Riders	559	504.24
2015-01-29 18:26:00	903.603	All Riders	559	504.24
2015-02-02 15:02:00	1295.886	All Riders	559	504.24
2015-02-03 17:15:00	888.046	All Riders	559	504.24
2015-02-05 17:45:00	988.909	All Riders	559	504.24
2015-02-09 17:32:00	1089.355	All Riders	559	504.24
2015-02-09 17:34:00	1019.773	All Riders	559	504.24
2015-02-16 17:34:00	834.686	All Riders	559	504.24
2015-02-23 17:38:00	914.864	All Riders	559	504.24
2015-03-06 17:21:00	901.374	All Riders	559	504.24
2015-03-10 15:18:00	1166.916	All Riders	559	504.24
2015-03-11 17:16:00	668.804	All Riders	559	504.24
2015-03-11 17:39:00	871.681	All Riders	559	504.24
2015-03-12 17:33:00	890.767	All Riders	559	504.24
2015-03-13 16:40:00	994.198	All Riders	559	504.24
2015-03-16 17:37:00	831.298	All Riders	559	504.24
2015-03-19 17:48:00	961.404	All Riders	559	504.24
2015-03-23 17:39:00	795.63	All Riders	559	504.24
2015-03-25 17:18:00	1085.54	All Riders	559	504.24
2015-03-31 17:41:00	989.279	All Riders	559	504.24
2015-04-06 17:46:00	1057.235	All Riders	559	504.24
2015-04-08 18:27:00	1082.75	All Riders	559	504.24
2015-04-09 18:40:00	1150.6	All Riders	559	504.24
2015-04-15 17:00:00	504.24	All Riders	559	504.24
2015-04-15 18:00:00	971.841	All Riders	559	504.24
2015-04-16 18:02:00	984.369	All Riders	559	504.24
2015-04-17 17:57:00	1081.768	All Riders	559	504.24
2015-04-20 18:19:00	1010.2	All Riders	559	504.24
2015-05-01 16:45:00	1082.6	All Riders	559	504.24
2015-05-04 17:41:00	1071.629	All Riders	559	504.24
2015-05-06 17:06:00	1265.092	All Riders	559	504.24
2015-05-07 17:00:00	939.057	All Riders	559	504.24
